"courseSectionExternalId","staffExternalId"
"SPAN002  PZ-01 SP2023","50140523"
"SPAN011  PO-02 SP2023","10196894"
"SPAN033L CM-04 SP2023","30378972"
"SPAN033L CM-04 SP2023","30203478"
"SPAN044  CM-01 SP2023","30075707"
"SPAN044L CM-02 SP2023","30034894"
"SPAN044L CM-03 SP2023","30075707"
"SPAN055  PZ-02 SP2023","50413093"
"SPAN125B CM-01 SP2023","30075707"
"SPAN191  PO-08 SP2023","10042248"
"SPAN191  SC-01 SP2023","20042124"
"SPAN199  CM-01 SP2023","30034894"
"TEST001  PZ-01 SP2023","50010831"
"THEA010  PO-01 SP2023","10370355"
"THEA089C PO-01 SP2023","10370355"
"THEA170  PO-01 SP2023","10087641"
"ANTH001  PZ-01 SP2023","50010707"
"ANTH003  PZ-01 SP2023","50010725"
"ANTH009  PZ-01 SP2023","50010671"
"ARBC044  CM-01 SP2023","30347077"
"ARHI141A PO-01 SP2023","10042860"
"ARHI191  PO-04 SP2023","10013095"
"ART 010  PO-01 SP2023","10346046"
"ART 123  PZ-01 SP2023","50456484"
"ART 196  PZ-01 SP2023","50140060"
"ASAM056  PZ-02 SP2023","50456356"
"ASAM085  PZ-01 SP2023","50079486"
"ASAM179L AA-01 SP2023","20280660"
"ASAM191  PO-40 SP2023","10085197"
"ASTR062  HM-01 SP2023","40220254"
"BIOL042LXKS-01 SP2023","20276850"
"BIOL042LXKS-01 SP2023","20276850"
"BIOL044LXKS-05 SP2023","20042124"
"BIOL044LXKS-06 SP2023","20042124"
"BIOL044LXKS-08 SP2023","20042124"
"BIOL046  HM-01 SP2023","40163647"
"BIOL104  PO-01 SP2023","10144059"
"BIOL131L KS-01 SP2023","20042228"
"BIOL157L KS-01 SP2023","20276867"
"BIOL170  PO-01 SP2023","10043238"
"BIOL173  PO-01 SP2023","10134553"
"BIOL191F PO-12 SP2023","10014392"
"BIOL191F PO-40 SP2023","10306332"
"BIOL193  HM-04 SP2023","40163647"
"BIOL194B PO-42 SP2023","10271004"
"CHEM001BLPO-02 SP2023","10087224"
"CHEM015L KS-08 SP2023","20042124"
"CHEM052  HM-01 SP2023","40220255"
"CHEM117LXKS-07 SP2023","20264462"
"CHEM152  HM-09 SP2023","40220255"
"CHEM152  HM-14 SP2023","40215075"
"CHEM191  PO-16 SP2023","10248799"
"CHEM193P HM-01 SP2023","40220592"
"CHIN001B PO-01 SP2023","10370118"
"CHIN051B PO-02 SP2023","10370668"
"CHIN051H PO-01 SP2023","10364482"
"CHIN111B PO-01 SP2023","10346813"
"CHIN192A PO-04 SP2023","10346813"
"CHLT081  CH-01 SP2023","50461113"
"CHLT115  CH-01 SP2023","50461094"
"CHLT153  CH-01 SP2023","50010670"
"CHLT171  PZ-01 SP2023","50421109"
"CHST067  CH-01 SP2023","20261999"
"CHST191  CH-28 SP2023","10139619"
"CLAS106  PO-01 SP2023","10254425"
"CORE002  SC-06 SP2023","20042861"
"CORE079  HM-01 SP2023","40155078"
"CORE079  HM-01 SP2023","40169278"
"CORE079R HM-11 SP2023","40005461"
"CSCI051ALPO-02 SP2023","10361322"
"CSCI060  HM-01 SP2023","40164205"
"CSCI062 LPO-02 SP2023","10366466"
"CSCI070  HM-02 SP2023","40005497"
"CSCI105  HM-02 SP2023","40005481"
"CSCI105 LPO-01 SP2023","10357926"
"CSCI131  HM-01 SP2023","40199068"
"CSCI131  HM-02 SP2023","40156281"
"CSCI131  HM-02 SP2023","40156281"
"CSCI153  HM-01 SP2023","40209985"
"CSCI181AKHM-01 SP2023","40152633"
"CSCI184  HM-01 SP2023","40193795"
"CSCI188  PO-01 SP2023","10364363"
"CSCI189  HM-01 SP2023","40005491"
"CSCI190  PO-01 SP2023","10364363"
"CSCI195  HM-01 SP2023","40005497"
"CSMT184  HM-01 SP2023","40193795"
"DANC010  PO-02 SP2023","10043312"
"DANC050 PPO-01 SP2023","10337478"
"DANC068  SC-01 SP2023","20042148"
"DANC078B SC-01 SP2023","20042149"
"DANC120 PPO-01 SP2023","10087641"
"DANC123  PO-01 SP2023","10042972"
"DANC139  PO-01 SP2023","10043316"
"EA  133  PZ-01 SP2023","50152079"
"EA  191  KS-01 SP2023","20042221"
"ECON052  PZ-02 SP2023","50010680"
"ECON086  CM-02 SP2023","30323937"
"ECON086  CM-05 SP2023","30026673"
"ECON100  CM-01 SP2023","30004460"
"ECON101  SC-01 SP2023","20205654"
"ECON105  PZ-01 SP2023","50439973"
"ECON107  PO-01 SP2023","10213581"
"ECON120  CM-04 SP2023","30204844"
"ECON126  CM-02 SP2023","30212591"
"ECON128  PO-01 SP2023","10042412"
"ECON155  PO-01 SP2023","10022550"
"ECON166  PO-01 SP2023","10278951"
"ECON172  CM-01 SP2023","30366831"
"ECON196  CM-01 SP2023","30353378"
"ECON197SBCM-01 SP2023","30379096"
"ENGL031  PZ-01 SP2023","50221622"
"ENGL191  PO-08 SP2023","10358080"
"ENGL191  PO-24 SP2023","10087856"
"ENGR080  HM-02 SP2023","40169710"
"ENGR080  HM-02 SP2023","40205195"
"ENGR080  HM-03 SP2023","40043116"
"ENGR113  HM-01 SP2023","40043284"
"ENGR131  HM-01 SP2023","40220653"
"ENTR049A HM-01 SP2023","40160594"
"FHS 010  CM-10 SP2023","30153492"
"FIN 330  CM-01 SP2023","30087486"
"FREN002L CM-01 SP2023","30385346"
"FREN033  CM-01 SP2023","30384856"
"FREN033  SC-01 SP2023","20264690"
"FREN033L CM-02 SP2023","30182015"
"FREN044  PO-01 SP2023","10037773"
"FREN044  SC-01 SP2023","20042184"
"FREN044  SC-02 SP2023","20187765"
"FREN187A SC-01 SP2023","20280623"
"FREN191  PO-12 SP2023","10037773"
"FREN192  PO-12 SP2023","10037773"
"FWS 010  CM-10 SP2023","30274755"
"FWS 010  CM-12 SP2023","30367231"
"GEOL185  PO-01 SP2023","10029721"
"GEOL189G PO-01 SP2023","10013666"
"GERM191  PO-08 SP2023","10141237"
"GOVT041B CM-01 SP2023","30322609"
"GOVT150  CM-01 SP2023","30346092"
"GOVT154  CM-01 SP2023","30075286"
"GOVT165  CM-01 SP2023","30075305"
"GOVT999  CM-02 SP2023","30023860"
"HIST102  PO-01 SP2023","10361324"
"HIST133  AF-01 SP2023","10023055"
"HIST138  PZ-01 SP2023","50010734"
