"permCountExternalId","PermCount"
"ASAM089  PZ-01 SP2023","35"
"ASAM090  PZ-01 SP2023","15"
"ASAM128  PZ-01 SP2023","38"
"ASAM137  PZ-01 SP2023","8"
"ASAM143 PO-01 SP2023","5"
"ASAM144  PO-01 SP2023","5"
"ASAM156  PZ-01 SP2023","21"
"ASAM160  AA-01 SP2023","30"
"ASAM179K AA-01 SP2023","16"
"ASAM179L AA-01 SP2023","11"
"ASAM179M HM-01 SP2023","5"
"ASAM179N HM-01 SP2023","4"
"ASAM191  PO-12 SP2023","1"
"ASAM191  PO-14 SP2023","1"
"ASAM191  PO-36 SP2023","3"
"ASAM191  PO-40 SP2023","1"
"ASIA081  PO-01 SP2023","2"
"ASIA191  PO-04 SP2023","1"
"ASTR002  PO-01 SP2023","115"
"ASTR051  PO-01 SP2023","12"
"ASTR051 LPO-01 SP2023","7"
"ASTR066L KS-01 SP2023","10"
"ASTR066L KS-02 SP2023","22"
"ASTR066L KS-03 SP2023","9"
"ASTR066L KS-04 SP2023","7"
"ASTR123  PO-01 SP2023","5"
"BIOL001A PO-01 SP2023","5"
"BIOL007  PO-01 SP2023","5"
"BIOL007 LPO-01 SP2023","11"
"BIOL007 LPO-02 SP2023","18"
"BIOL007 LPO-03 SP2023","4"
"BIOL007 LPO-04 SP2023","8"
"BIOL023  HM-01 SP2023","8"
"BIOL023  HM-02 SP2023","3"
"BIOL023  HM-03 SP2023","4"
"BIOL023  HM-04 SP2023","4"
"BIOL023  HM-05 SP2023","5"
"BIOL041C PO-01 SP2023","3"
"BIOL041C PO-02 SP2023","1"
"BIOL041E PO-01 SP2023","6"
"BIOL041E PO-02 SP2023","4"
"BIOL042L KS-01 SP2023","2"
"BIOL044L KS-01 SP2023","4"
"BIOL044L KS-02 SP2023","25"
"BIOL044L KS-03 SP2023","1"
"BIOL044L KS-04 SP2023","21"
"BIOL044L KS-05 SP2023","9"
"BIOL044L KS-06 SP2023","26"
"BIOL044LXKS-01 SP2023","1"
"BIOL044LXKS-02 SP2023","2"
"BIOL046  HM-01 SP2023","2"
"BIOL046R HM-01 SP2023","2"
"BIOL046R HM-02 SP2023","2"
"BIOL046R HM-04 SP2023","1"
"BIOL054  HM-01 SP2023","2"
"BIOL054  HM-02 SP2023","4"
"BIOL057L KS-01 SP2023","48"
"BIOL104  PO-01 SP2023","2"
"BIOL106  PO-01 SP2023","20"
"BIOL108  HM-01 SP2023","9"
"BIOL111  KS-01 SP2023","9"
"BIOL116  PO-01 SP2023","10"
"BIOL119  KS-01 SP2023","29"
"BIOL136L KS-01 SP2023","2"
"BIOL138  KS-01 SP2023","20"
"BIOL141L KS-01 SP2023","2"
"BIOL143  KS-01 SP2023","1"
"BIOL143  KS-02 SP2023","26"
"BIOL150ALKS-01 SP2023","4"
"BIOL154  HM-01 SP2023","3"
"BIOL157L KS-01 SP2023","22"
"BIOL161  HM-01 SP2023","1"
"BIOL165A PO-01 SP2023","6"
"BIOL168L KS-01 SP2023","45"
"BIOL169  PO-01 SP2023","7"
"BIOL169 LPO-01 SP2023","2"
"BIOL170  PO-01 SP2023","1"
"BIOL170L KS-01 SP2023","7"
"BIOL173  PO-01 SP2023","2"
"BIOL174  PO-01 SP2023","3"
"BIOL175  KS-01 SP2023","28"
"BIOL176  KS-01 SP2023","12"
"BIOL177  KS-01 SP2023","1"
"BIOL182  HM-01 SP2023","3"
"BIOL184  HM-01 SP2023","1"
"BIOL185E HM-01 SP2023","3"
"BIOL185F HM-01 SP2023","3"
"BIOL187F KS-01 SP2023","5"
"BIOL187M KS-01 SP2023","4"
"BIOL187P KS-01 SP2023","5"
"BIOL187T KS-01 SP2023","8"
"BIOL191F PO-02 SP2023","1"
"BIOL191F PO-12 SP2023","1"
"BIOL191F PO-24 SP2023","3"
"BIOL191F PO-48 SP2023","2"
"BIOL191F PO-56 SP2023","1"
"BIOL191H PO-28 SP2023","1"
"BIOL193  HM-02 SP2023","2"
"BIOL193  HM-05 SP2023","1"
"BIOL193  HM-06 SP2023","2"
"BIOL193  HM-07 SP2023","2"
"BIOL193  HM-08 SP2023","3"
"BIOL194B PO-04 SP2023","1"
"BIOL194B PO-36 SP2023","3"
"BIOL194B PO-48 SP2023","1"
"BIOL196  KS-01 SP2023","46"
"BIOL197  KS-01 SP2023","15"
"CASA101  PZ-01 SP2023","30"
"CASA105  PZ-01 SP2023","25"
"CGS 038  PZ-01 SP2023","15"
"CGS 050  PZ-01 SP2023","12"
"CGS 060  PZ-01 SP2023","28"
"CGS 075  PZ-01 SP2023","8"
"CGS 101  PZ-01 SP2023","1"
"CGS 120  PZ-01 SP2023","27"
