"externalId","courseSectionExternalId","classBeginningTime","classEndingTime","classMeetingDays","InstructionSiteName","InstructionSiteType"
"ART 179K HM-01 SP2023160715","ART 179K HM-01 SP2023","1315","1545","-----F-","HM PA 1283","OnCampus"
"ART 179L HM-01 FA2023161625","ART 179L HM-01 FA2023","1000","1230","--T-R--","HM PA 1283","OnCampus"
"ART 179L HM-01 SP2023160636","ART 179L HM-01 SP2023","1000","1230","-M-W---","HM PA 1283","OnCampus"
"ART 179M HM-01 FA2023161626","ART 179M HM-01 FA2023","1315","1545","--T-R--","HM PA 1283","OnCampus"
"ART 179M HM-01 SP2023160637","ART 179M HM-01 SP2023","1315","1545","-M-W---","HM PA 1283","OnCampus"
"ART 179N HM-01 FA2023161627","ART 179N HM-01 FA2023","1315","1600","-M-----","HM PA 1283","OnCampus"
"ART 179O HM-01 FA2023161628","ART 179O HM-01 FA2023","1445","1730","---W---","HM SHAN 3421","OnCampus"
"ART 179P HM-01 SP2023160638","ART 179P HM-01 SP2023","1615","1730","-M-W---","HM PA 1283","OnCampus"
"ART 181G SC-01 SP2023160799","ART 181G SC-01 SP2023","1315","1430","-M-W---","SC ST 103","OnCampus"
"ART 188  PO-01 SP2023159958","ART 188  PO-01 SP2023","935","1205","--T-R--","PO STAR 201","OnCampus"
"ART 192  PO-04 SP2023158492","ART 192  PO-04 SP2023","1315","1545","--T-R--","PO STAR 214","OnCampus"
"ART 193  SC-01 SP2023159014","ART 193  SC-01 SP2023","1315","1545","--T-R--","SC LA 221","OnCampus"
"ART 196  PZ-01 SP2023161176","ART 196  PZ-01 SP2023","0","0","-------","PZ ARR ","OnCampus"
"ART 199  PZ-01 SP2023161074","ART 199  PZ-01 SP2023","1445","1730","---W---","PZ ATN A105","OnCampus"
"ASAM056  PZ-01 SP2023160522","ASAM056  PZ-01 SP2023","935","1050","---W-F-","PZ BH 204","OnCampus"
"ASAM056  PZ-02 SP2023160523","ASAM056  PZ-02 SP2023","1100","1215","---W-F-","PZ BH 204","OnCampus"
"ASAM085  PZ-01 SP2023160524","ASAM085  PZ-01 SP2023","1315","1600","----R--","PZ BE 101","OnCampus"
"ASAM089  PZ-01 SP2023160851","ASAM089  PZ-01 SP2023","1445","1730","---W---","PZ BD 208","OnCampus"
"ASAM090  PZ-01 SP2023160525","ASAM090  PZ-01 SP2023","1800","2050","--T----","PZ BH 110","OnCampus"
"ASAM125  AA-01 FA2023161630","ASAM125  AA-01 FA2023","935","1050","--T-R--","HM SHAN 2421","OnCampus"
"ASAM125  AA-01 SU2023H1162396","ASAM125  AA-01 SU2023H1","830","1200","-MTWR--","HM ONLI ","OnCampus"
"ASAM126  HM-01 FA2023161631","ASAM126  HM-01 FA2023","1315","1430","--T-R--","HM SHAN 3425","OnCampus"
"ASAM128  PZ-01 SP2023160528","ASAM128  PZ-01 SP2023","1100","1215","--T-R--","PZ ATN A103","OnCampus"
"ASAM128  PZ-01 SP2023162541","ASAM128  PZ-01 SP2023","1100","1215","--T-R--","PZ OUTD TNT3","OnCampus"
"ASAM137  PZ-01 SP2023160850","ASAM137  PZ-01 SP2023","1315","1600","----R--","PO LINC 1121","OnCampus"
"ASAM137  PZ-01 SP2023162542","ASAM137  PZ-01 SP2023","1315","1600","----R--","PZ OUTD TNT3","OnCampus"
"ASAM143 PO-01 SP2023159960","ASAM143 PO-01 SP2023","1100","1215","-M-W---","PO ESTE 2141","OnCampus"
"ASAM144  PO-01 SP2023160864","ASAM144  PO-01 SP2023","1315","1600","---W---","PO LINC 1121","OnCampus"
"ASAM156  PZ-01 SP2023160529","ASAM156  PZ-01 SP2023","1315","1600","----R--","PZ SKD P103","OnCampus"
"ASAM160  AA-01 SP2023159015","ASAM160  AA-01 SP2023","1315","1430","-M-W---","SC HM 101","OnCampus"
"ASAM179K AA-01 SP2023159016","ASAM179K AA-01 SP2023","1445","1730","---W---","SC HM 119","OnCampus"
"ASAM179L AA-01 SP2023159017","ASAM179L AA-01 SP2023","1445","1730","-M-----","SC HM 102","OnCampus"
"ASAM179M HM-01 SP2023160707","ASAM179M HM-01 SP2023","1315","1430","--T-R--","HM SHAN 2425","OnCampus"
"ASAM179N HM-01 SP2023160708","ASAM179N HM-01 SP2023","810","925","--T-R--","HM SHAN 2425","OnCampus"
"ASAM191  PO-04 SP2023158493","ASAM191  PO-04 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-08 SP2023158494","ASAM191  PO-08 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-12 SP2023161227","ASAM191  PO-12 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-14 SP2023158495","ASAM191  PO-14 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-16 SP2023158497","ASAM191  PO-16 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-24 SP2023158498","ASAM191  PO-24 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-32 SP2023158499","ASAM191  PO-32 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-36 SP2023161041","ASAM191  PO-36 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-40 SP2023158501","ASAM191  PO-40 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-44 SP2023158502","ASAM191  PO-44 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-48 SP2023158503","ASAM191  PO-48 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-52 SP2023158504","ASAM191  PO-52 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-56 SP2023158505","ASAM191  PO-56 SP2023","0","0","-------"," ARR ","OnCampus"
