"permCountExternalId","PermCount"
"CHLT115  CH-01 SP2023","13"
"CHLT153  CH-01 SP2023","15"
"CHLT156  PZ-01 SP2023","9"
"CHLT157  CH-01 SP2023","11"
"CHLT160  CH-01 SP2023","4"
"CHLT171  PZ-01 SP2023","6"
"CHNT166  PO-01 SP2023","7"
"CHST015  CH-01 SP2023","7"
"CHST028  CH-01 SP2023","7"
"CHST066  CH-01 SP2023","4"
"CHST067  CH-01 SP2023","3"
"CHST120  CH-01 SP2023","7"
"CHST132  CH-01 SP2023","19"
"CHST183  CH-01 SP2023","6"
"CHST189B PO-01 SP2023","5"
"CHST191  CH-12 SP2023","1"
"CHST191  CH-20 SP2023","2"
"CHST192  CH-04 SP2023","1"
"CHST192  CH-12 SP2023","3"
"CHST192  CH-20 SP2023","1"
"CHST192  CH-28 SP2023","2"
"CLAS001  PO-01 SP2023","15"
"CLAS019  SC-01 SP2023","28"
"CLAS020  PZ-01 SP2023","26"
"CLAS064  PO-01 SP2023","4"
"CLAS106  PO-01 SP2023","4"
"CLAS116  SC-01 SP2023","2"
"CLAS161  PZ-01 SP2023","10"
"CLAS162  PZ-01 SP2023","22"
"CLAS175  PZ-01 SP2023","12"
"CLAS191  PO-04 SP2023","1"
"CLAS191  PO-08 SP2023","2"
"CLES101  HM-01 SP2023","3"
"COGS011  PZ-01 SP2023","62"
"CORE002  SC-01 SP2023","4"
"CORE002  SC-02 SP2023","4"
"CORE002  SC-04 SP2023","5"
"CORE002  SC-06 SP2023","6"
"CORE002  SC-07 SP2023","6"
"CORE002  SC-08 SP2023","5"
"CORE002  SC-09 SP2023","2"
"CORE002  SC-10 SP2023","11"
"CORE002  SC-11 SP2023","6"
"CORE002  SC-12 SP2023","2"
"CORE002  SC-15 SP2023","7"
"CORE002  SC-16 SP2023","4"
"CORE079R HM-01 SP2023","2"
"CORE079R HM-02 SP2023","3"
"CORE079R HM-04 SP2023","6"
"CORE079R HM-06 SP2023","5"
"CORE079R HM-07 SP2023","15"
"CORE079R HM-08 SP2023","2"
"CORE079R HM-09 SP2023","3"
"CORE079R HM-12 SP2023","3"
"CORE079R HM-13 SP2023","4"
"CREA031  PZ-01 SP2023","16"
"CREA159C PZ-01 SP2023","12"
"CSCI005  HM-01 SP2023","12"
"CSCI036  CM-01 SP2023","11"
"CSCI036  CM-02 SP2023","40"
"CSCI046  CM-01 SP2023","63"
"CSCI046L CM-01 SP2023","1"
"CSCI051A PO-02 SP2023","2"
"CSCI054  PO-01 SP2023","34"
"CSCI060  HM-01 SP2023","59"
"CSCI062  PO-01 SP2023","44"
"CSCI062 LPO-01 SP2023","4"
"CSCI062 LPO-02 SP2023","26"
"CSCI070  HM-02 SP2023","2"
"CSCI070  HM-03 SP2023","3"
"CSCI081  HM-01 SP2023","21"
"CSCI081  HM-02 SP2023","19"
"CSCI101  PO-01 SP2023","15"
"CSCI105  HM-02 SP2023","1"
"CSCI105  PO-01 SP2023","3"
"CSCI111  HM-01 SP2023","7"
"CSCI131  HM-01 SP2023","4"
"CSCI131  HM-02 SP2023","5"
"CSCI133  HM-01 SP2023","23"
"CSCI140  PO-01 SP2023","3"
"CSCI143  CM-01 SP2023","26"
"CSCI144  HM-01 SP2023","3"
"CSCI152  PO-01 SP2023","40"
"CSCI153  HM-01 SP2023","19"
"CSCI158  PZ-01 SP2023","63"
"CSCI159  PO-01 SP2023","25"
"CSCI181AIHM-01 SP2023","6"
"CSCI181AIHM-02 SP2023","3"
"CSCI181AJHM-01 SP2023","23"
"CSCI181AJHM-02 SP2023","12"
"CSCI181AKHM-01 SP2023","10"
"CSCI181AKHM-02 SP2023","3"
"CSCI188  PO-01 SP2023","4"
"CSCI190  PO-01 SP2023","7"
"CSCI191  PO-04 SP2023","1"
"CSCI191  SC-01 SP2023","2"
"CSCI192  PO-04 SP2023","1"
"CSCI192  PO-20 SP2023","1"
"CSCI195  HM-02 SP2023","18"
"CSMT181A JT-01 SP2023","5"
"DANC010  PO-01 SP2023","57"
"DANC010  PO-02 SP2023","48"
"DANC012  PO-01 SP2023","5"
"DANC050  PO-01 SP2023","2"
"DANC068  SC-01 SP2023","29"
"DANC076A SC-01 SP2023","3"
"DANC078B SC-01 SP2023","1"
"DANC111A SC-01 SP2023","1"
"DANC111B SC-01 SP2023","25"
"DANC112A SC-01 SP2023","4"
"DANC112B SC-01 SP2023","1"
"DANC136B SC-01 SP2023","1"
"DANC138  PO-01 SP2023","1"
"DANC139  PO-01 SP2023","5"
"DANC150A PO-01 SP2023","1"
"DANC152  PO-01 SP2023","10"
"DANC152 PPO-01 SP2023","11"
"DANC160  SC-01 SP2023","15"
"DANC170  PO-01 SP2023","12"
"DANC175  PO-01 SP2023","3"
"DANC176  PO-01 SP2023","3"
"DANC192  PO-04 SP2023","2"
"DS  002  SC-01 SP2023","8"
"DS  108  PZ-01 SP2023","54"
"DS  180  CM-01 SP2023","7"
"EA  010  PO-01 SP2023","31"
"EA  010  PZ-01 SP2023","27"
"EA  010  PZ-02 SP2023","23"
"EA  010  SC-01 SP2023","5"
"EA  020  PO-01 SP2023","29"
"EA  021  CM-01 SP2023","2"
"EA  030  PO-01 SP2023","18"
"EA  030L KS-01 SP2023","38"
"EA  031  PZ-01 SP2023","15"
"EA  032  PZ-01 SP2023","19"
"EA  039  PZ-01 SP2023","11"
"EA  078  PZ-01 SP2023","15"
"EA  085  PO-01 SP2023","24"
"EA  085 LPO-01 SP2023","4"
"EA  085 LPO-02 SP2023","4"
"EA  086  PZ-01 SP2023","32"
"EA  086  SC-01 SP2023","17"
"EA  099  PO-01 SP2023","31"
"EA  103  KS-01 SP2023","3"
"EA  108  PZ-01 SP2023","19"
"EA  112  PZ-01 SP2023","34"
"EA  133  PZ-01 SP2023","9"
"EA  134  PZ-01 SP2023","3"
"EA  138  PZ-01 SP2023","14"
"EA  141  PZ-01 SP2023","5"
"EA  153  PZ-01 SP2023","23"
"EA  171  PO-01 SP2023","39"
"EA  174  JT-01 SP2023","32"
"EA  185  PO-01 SP2023","31"
"EA  188L KS-01 SP2023","1"
"EA  196  KS-01 SP2023","1"
"EA  197  KS-01 SP2023","1"
"EA  197  PZ-01 SP2023","17"
"ECON020  PZ-01 SP2023","6"
"ECON050  CM-01 SP2023","4"
"ECON050  CM-02 SP2023","11"
"ECON051  PO-01 SP2023","34"
