"PGRU","Major","RUSS",""
"PGRU","Major","RUST",""
"PGWS","Major","GWS",""
"PHST","Major","HIST",""
"PINT","Major","HUM",""
"PINT","Major","ID",""
"PINT","Major","WRIT",""
"PIR","Major","IR",""
"PIR","Major","POLI",""
"PJPN","Major","JAPN",""
"PJPN","Major","JPNT",""
"PLAS","Major","LAST",""
"PLCS","Major","LGCS",""
"PLCS","Major","LING",""
"PMAT","Major","CHEM",""
"PMAT","Major","MATH",""
"PMBI","Major","MOBI",""
"PMCS","Major","CSCI",""
"PMCS","Major","HMTH",""
"PMCS","Major","MATH",""
"PMST","Major","MS",""
"PMUS","Major","MUS",""
"PNEU","Major","NEUR",""
"PPED","Major","PE",""
"PPHI","Major","PHIL",""
"PPHY","Major","ASTR",""
"PPHY","Major","PHYS",""
"PPOL","Major","PHYS",""
"PPOL","Major","POLI",""
"PPPA","Major","POLI",""
"PPPA","Major","PPA",""
"PPPA","Major","PUBP",""
"PPPE","Major","PPE",""
"PPSY","Major","PSYC",""
"PREG","Major","AKP",""
"PREG","Major","AMST",""
"PREG","Major","CSCI",""
"PREG","Major","ECON",""
"PREG","Major","HIST",""
"PREG","Major","MS",""
"PREG","Major","MUS",""
"PREG","Major","PSYC",""
"PREG","Major","THEA",""
"PREG","Major","WRIT",""
"PRLL","Major","FREN",""
"PRLL","Major","ITAL",""
"PRLL","Major","RLIT",""
"PRLL","Major","SPAN",""
"PRLL","Major","SPNT",""
"PRST","Major","RLST",""
"PRUS","Major","RUSS",""
"PRUS","Major","RUST",""
"PSOC","Major","SOC",""
"PSPN","Major","SPAN",""
"PSTS","Major","STS",""
"PTHD","Major","DANC",""
"PTHD","Major","THEA",""
"PWOS","Major","WMST",""
"SAAS","Major","ASAM",""
"SAAS","Major","ID",""
"SACN","Major","ARCN",""
"SAFR","Major","AFRI",""
"SAFR","Major","ENGL",""
"SAFR","Major","HMSC",""
"SAMS","Major","AMST",""
"SAMS","Major","ID",""
"SANT","Major","ANTH",""
"SARH","Major","ARHI",""
"SART","Major","ARCN",""
"SART","Major","ARHI",""
"SART","Major","ART",""
"SART","Major","MS",""
"SART","Major","SART",""
"SCHS","Major","CHLT",""
"SCHS","Major","CHST",""
"SCHS","Major","ENGL",""
"SCLA","Major","CLAS",""
"SCLA","Major","THEA",""
"SDAN","Major","DANC",""
"SECO","Major","ECON",""
"SENG","Major","ENGL",""
"SENG","Major","FGSS",""
"SENG","Major","WRIT",""
"SFGS","Major","FGSS",""
"SFGS","Major","GWS",""
"SFR","Major","FREN",""
"SGRM","Major","GERM",""
"SGRM","Major","GRMT",""
"SGWS","Major","FGSS",""
"SGWS","Major","GWS",""
"SGWS","Major","RLST",""
"SHIS","Major","HIST",""
"SHIS","Major","SPAN",""
"SHSP","Major","PORT",""
"SHSP","Major","SPAN",""
"SHSP","Major","SPNT",""
"SHUM","Major","CORE",""
"SHUM","Major","HMSC",""
"SHUM","Major","HUM",""
"SIDO","Major","AFRI",""
"SIDO","Major","AMST",""
"SIDO","Major","ASIA",""
"SIDO","Major","CHLT",""
"SIDO","Major","CHST",""
"SIDO","Major","CORE",""
"SIDO","Major","ENVS",""
"SIDO","Major","EURO",""
"SIDO","Major","ID",""
"SIDO","Major","IIS",""
"SIDO","Major","JWST",""
"SIDO","Major","LAST",""
"SIDO","Major","LGCS",""
"SIDO","Major","LGST",""
"SIDO","Major","MS",""
"SIDO","Major","NEUR",""
"SIDO","Major","OSCI",""
"SIDO","Major","PPE",""
"SIDO","Major","STS",""
"SITA","Major","ITAL",""
"SJSD","Major","ASTR",""
"SJSD","Major","BIOL",""
"SJSD","Major","CHEM",""
"SJSD","Major","NEUR",""
"SJSD","Major","PHYS",""
"SLAN","Major","FLAN",""
"SLAN","Major","FREN",""
"SLAN","Major","GERM",""
"SLAN","Major","LING",""
"SLAN","Major","SPAN",""
"SMAT","Major","CSCI",""
"SMAT","Major","MATH",""
"SMAT","Major","SMAT",""
"SMNA","Major","ANTH",""
"SMS","Major","MS",""
"SMUS","Major","MUS",""
"SMUS","Major","SMUS",""
"SOC","Major","ANTH",""
"SOC","Major","BLCK",""
"SOC","Major","CSCI",""
"SOC","Major","GEOL",""
"SOC","Major","LING",""
"SOC","Major","MS",""
"SOC","Major","ORST",""
"SOC","Major","PPA",""
"SOC","Major","PPE",""
"SOC","Major","PUBP",""
"SOC","Major","RUSS",""
"SOC","Major","SOC",""
"SOC","Major","THEA",""
"SPHI","Major","PHIL",""
"SPIR","Major","GOVT",""
"SPIR","Major","POLI",""
"SPIR","Major","SPOL",""
"SPSY","Major","NEUR",""
"SPSY","Major","PSYC",""
"SPSY","Major","SPSY",""
"SREG","Major","ALS",""
"SREG","Major","ANTH",""
"SREG","Major","ARHI",""
"SREG","Major","ART",""
"SREG","Major","BIOL",""
"SREG","Major","CHEM",""
"SREG","Major","CORE",""
"SREG","Major","CSCI",""
"SREG","Major","DANC",""
"SREG","Major","ECON",""
"SREG","Major","ENGL",""
"SREG","Major","FGSS",""
"SREG","Major","GWS",""
"SREG","Major","ID",""
"SREG","Major","JAPN",""
"SREG","Major","LGST",""
"SREG","Major","MATH",""
"SREG","Major","MS",""
"SREG","Major","PHYS",""
"SREG","Major","POLI",""
"SREL","Major","RLST",""
"SWRI","Major","WRIT",""
"ZAAH","Major","ARHI",""
"ZAAS","Major","ASAM",""
"ZAFR","Major","AFRI",""
"ZALL","Major","CHIN",""
"ZAMS","Major","AMST",""
"ZANT","Major","ANTH",""
"ZARH","Major","ARHI",""
"ZART","Major","ART",""
"ZASR","Major","ASTR",""
"ZAST","Major","PHYS",""
"ZBIO","Major","BIOL",""
"ZBLK","Major","BLCK",""
"ZCAS","Major","CASA",""
"ZCGS","Major","CGS",""
"ZCHI","Major","CHST",""
"ZCHL","Major","CHLT",""
"ZCHL","Major","CHST",""
"ZCLA","Major","CLAS",""
"ZCOG","Major","COGS",""
"ZCRE","Major","CREA",""
"ZCSC","Major","CSCI",""
"ZCSI","Major","MCSI",""
"ZDAN","Major","DANC",""
"ZECO","Major","ECON",""
"ZENG","Major","ENGL",""
"ZENS","Major","ENVS",""
"ZENV","Major","EA",""
"ZENV","Major","ENVS",""
"ZEVA","Major","EA",""
"ZFRE","Major","FREN",""
"ZFRS","Major","FS",""
"ZGFS","Major","GFS",""
"ZGLA","Major","GLAS",""
"ZGVT","Major","GOVT",""
"ZHBI","Major","BIOL",""
"ZHIS","Major","HIST",""
"ZHSD","Major","HSID",""
"ZID","Major","ID",""
"ZIIS","Major","IIS",""
"ZIIS","Major","THES",""
"ZLCS","Major","LGCS",""
"ZLIN","Major","LGCS",""
"ZLIN","Major","LING",""
"ZLIT","Major","LIT",""
"ZMAT","Major","MATH",""
"ZMDS","Major","MS",""
"ZMLL","Major","MLLC",""
"ZMLL","Major","PORT",""
"ZMUS","Major","MUS",""
"ZNEU","Major","BIOL",""
"ZNEU","Major","NEUR",""
"ZNEW","Major","FS",""
"ZONT","Major","ONT",""
"ZORG","Major","ORST",""
"ZPHI","Major","PHIL",""
"ZPHY","Major","ASTR",""
"ZPOL","Major","POLI",""
"ZPOL","Major","POST",""
"ZPSY","Major","PSYC",""
"ZREG","Major","ARBC",""
"ZREG","Major","CHEM",""
"ZREG","Major","LGST",""
"ZREG","Major","TNDY",""
"ZREL","Major","RLST",""
"ZSIP","Major","SIPZ",""
"ZSOC","Major","SOC",""
"ZSPA","Major","SPAN",""
"ZSTS","Major","STS",""
"ZTHE","Major","THEA",""
"ZWRI","Major","WRIT",""
